BusinessEntityID,Name,ContactType,Title,FirstName,MiddleName,LastName,Suffix,PhoneNumber,PhoneNumberType,EmailAddress,EmailPromotion
372,"The Gear Store","Owner","Mr.","John","","Arthur","","149-555-0113","Cell","john6@adventure-works.com",0
386,"Nice Bikes","Owner","Mr.","Daniel","","Blanco","","221-555-0167","Cell","daniel0@adventure-works.com",0
444,"Fourth Bike Store","Owner","Mr.","Mason","","Bendixen","","608-555-0114","Work","mason0@adventure-works.com",0
518,"Latest Sports Equipment","Owner","Mr.","Richard","","Bready","","340-555-0131","Work","richard1@adventure-works.com",0
624,"Budget Toy Store","Owner","Mr.","Tony","","Wang","","859-555-0100","Work","tony1@adventure-works.com",0
644,"Aerobic Exercise Company","Owner","Mr.","Bryan","","Walton","","858-555-0100","Work","bryan3@adventure-works.com",0
646,"Rural Sporting Goods","Owner","Mr.","Matthew","","Carroll","","1 (11) 500 555-0191","Work","matthew0@adventure-works.com",0
666,"Fitness Discount Store","Owner","Mr.","Sean","","Chai","","1 (11) 500 555-0134","Cell","sean3@adventure-works.com",0
674,"Imaginary Toys","Owner","Mr.","Greg","","Chapman","","708-555-0169","Work","greg1@adventure-works.com",0
814,"Excellent Riding Supplies","Owner","Mr.","Andrew","","Dixon","","576-555-0171","Cell","andrew3@adventure-works.com",0
938,"Two Bike Shops","Owner","Mr.","Jim","","Geist","","724-555-0161","Work","jim1@adventure-works.com",0
942,"Wheels Inc.","Owner","Mr.","Tom","","Getzinger","","1 (11) 500 555-0198","Cell","tom2@adventure-works.com",0
1018,"Trusted Catalog Store","Owner","Mr.","Jeff","","Stammler","","632-555-0100","Work","jeff5@adventure-works.com",0
1052,"Traditional Department Stores","Owner","Mr.","Jay","","Henningsen","","272-555-0126","Work","jay3@adventure-works.com",0
1062,"Online Bike Warehouse","Owner","Mr.","Jésus","","Hernandez","","214-555-0145","Work","jésus0@adventure-works.com",0
1080,"Exchange Parts Inc.","Owner","Mr.","Reinout","","Hillmann","","597-555-0132","Cell","reinout1@adventure-works.com",0
1090,"General Associates","Owner","Mr.","Douglas","","Hite","","419-555-0166","Work","douglas3@adventure-works.com",0
1196,"Weekend Bike Tours","Owner","Mr.","Sandeep","","Kaliyath","","495-555-0113","Work","sandeep1@adventure-works.com",0
1210,"Pretty Bikes and Toys","Owner","Mr.","Kendall","","Keil","","1 (11) 500 555-0115","Cell","kendall1@adventure-works.com",0
1228,"District Mall","Owner","Mr.","Imtiaz","","Khan","","249-555-0179","Cell","imtiaz0@adventure-works.com",0
1234,"Spare Parts Co.","Owner","Mr.","Jim","","Kim","","1 (11) 500 555-0165","Cell","jim2@adventure-works.com",0
1238,"Consolidated Messenger","Owner","Mr.","Tim","","Kim","","244-555-0115","Cell","tim0@adventure-works.com",0
1240,"Daring Rides","Owner","Mr.","Russell","","King","","871-555-0159","Cell","russell2@adventure-works.com",0
1244,"Finish and Sealant Products","Owner","Mr.","Christian","","Kleinerman","","362-555-0177","Work","christian1@adventure-works.com",0
1254,"Mountain Bike Center","Owner","Mr.","Eugene","","Kogan","","136-555-0134","Cell","eugene2@adventure-works.com",0
1272,"Outdoor Aerobic Systems Company","Owner","Mr.","Deepak","","Kumar","","1 (11) 500 555-0122","Cell","deepak0@adventure-works.com",0
1276,"Metal Clearing House","Owner","Mr.","Vamsi","","Kuppa","","290-555-0196","Cell","vamsi1@adventure-works.com",0
1280,"Largest Bike Store","Owner","Mr.","Peter","","Kurniawan","","436-555-0160","Cell","peter4@adventure-works.com",0
1282,"Kickstands and Accessories Company","Owner","Mr.","Eric","","Lang","","932-555-0163","Cell","eric6@adventure-works.com",0
1880,"Off-Price Bike Center","Owner","Mr.","Ram","","Thirunavukkarasu","","1 (11) 500 555-0114","Cell","ram0@adventure-works.com",0
1898,"Valuable Bike Parts Company","Owner","Mr.","Mike","","Tiano","","430-555-0121","Cell","mike7@adventure-works.com",0
1904,"Mobile Outlet","Owner","Mr.","Tony","","Ting","","538-555-0182","Cell","tony0@adventure-works.com",0
1908,"Rural Bicycle Supply","Owner","Mr.","Dragan","","Tomic","","833-555-0167","Cell","dragan1@adventure-works.com",0
1946,"Swift Cycles","Owner","Mr.","Sunil","","Uppal","","184-555-0187","Work","sunil0@adventure-works.com",0
1986,"Recreation Toy Store","Owner","Mr.","Kevin","","Verboort","","1 (11) 500 555-0116","Cell","kevin6@adventure-works.com",0
614,"Outdoor Sporting Goods","Purchasing Agent","Mr.","Chris","","Cannon","","118-555-0131","Work","chris5@adventure-works.com",0
620,"Tandem Bicycle Store","Purchasing Agent","Mr.","Jun","","Cao","","488-555-0130","Work","jun1@adventure-works.com",0
628,"Ace Bicycle Supply","Purchasing Agent","Mr.","Ty Loren","","Carlson","","1 (11) 500 555-0120","Cell","tyloren0@adventure-works.com",0
660,"Sports Merchandise","Purchasing Agent","Mr.","Andrew","","Cencini","","644-555-0111","Work","andrew2@adventure-works.com",0
690,"Kids and Adults Cycle Shop","Purchasing Agent","Mr.","Martin","","Chisholm","","1 (11) 500 555-0142","Cell","martin0@adventure-works.com",0
760,"Handy Bike Services","Purchasing Agent","Mr.","Grant","","Culbertson","","859-555-0173","Work","grant1@adventure-works.com",0
762,"Friendly Bike Shop","Purchasing Agent","Mr.","Scott","","Culp","","119-555-0167","Cell","scott3@adventure-works.com",0
764,"Fashionable Bikes and Accessories","Purchasing Agent","Mr.","Conor","","Cunningham","","115-555-0113","Work","conor0@adventure-works.com",0
768,"Citywide Service and Repair","Purchasing Agent","Mr.","Thierry","","D'Hers","","680-555-0192","Cell","thierry1@adventure-works.com",0
772,"Professional Sporting Goods","Purchasing Agent","Mr.","Mike","","Danseglio","","219-555-0126","Cell","mike2@adventure-works.com",0
786,"Outdoor Equipment Store","Purchasing Agent","Mr.","Kirk","","DeGrasse","","820-555-0166","Work","kirk1@adventure-works.com",0
828,"Vigorous Exercise Company","Purchasing Agent","Mr.","Reuben","","D'sa","","916-555-0137","Work","reuben1@adventure-works.com",0
830,"Showcase for Cycles","Purchasing Agent","Mr.","Ed","","Dudenhoefer","","1 (11) 500 555-0153","Work","ed1@adventure-works.com",0
832,"Lease-a-Bike Shop","Purchasing Agent","Mr.","Bernard","","Duerr","","158-555-0188","Cell","bernard0@adventure-works.com",0
854,"First Center","Purchasing Agent","Mr.","Michael","","Emanuel","","1 (11) 500 555-0130","Cell","michael14@adventure-works.com",0
856,"Action Bicycle Specialists","Purchasing Agent","Mr.","Terry","","Eminhizer","","1 (11) 500 555-0176","Work","terry1@adventure-works.com",0
874,"Real Sporting Goods","Purchasing Agent","Mr.","John","","Evans","","581-555-0172","Work","john17@adventure-works.com",0
876,"Versatile Sporting Goods Company","Purchasing Agent","Mr.","Marc","","Faeber","","1 (11) 500 555-0191","Cell","marc1@adventure-works.com",0
878,"Bicycle Outfitters","Purchasing Agent","Mr.","Fadi","","Fakhouri","","153-555-0114","Cell","fadi1@adventure-works.com",0
890,"Expert Sports Store","Purchasing Agent","Mr.","James","","Fine","","993-555-0162","Cell","james5@adventure-works.com",0
964,"Year-Round Sports","Purchasing Agent","Mr.","Scott","","Gode","","164-555-0145","Cell","scott4@adventure-works.com",0
968,"Resident Cycle Shop","Purchasing Agent","Mr.","Jossef","","Goldberg","","621-555-0157","Cell","jossef1@adventure-works.com",0
980,"Wholesale Parts","Purchasing Agent","Mr.","Derek","","Graham","","674-555-0187","Cell","derek0@adventure-works.com",0
992,"Latest Accessories Sales","Purchasing Agent","Mr.","Florian","","Voss","","987-555-0100","Cell","florian0@adventure-works.com",0
1022,"Sharp Bikes","Purchasing Agent","Mr.","Sethu","","Srinivasan","","836-555-0100","Cell","sethu0@adventure-works.com",0
1298,"Racing Partners","Purchasing Agent","Mr.","Mark","","Lee","","371-555-0112","Work","mark5@adventure-works.com",0
1350,"Every Bike Shop","Purchasing Agent","Mr.","Spencer","","Low","","333-555-0113","Work","spencer0@adventure-works.com",0
1356,"Larger Cycle Shop","Purchasing Agent","Mr.","Richard","","Lum","","140-555-0128","Work","richard5@adventure-works.com",0
1406,"Professional Cyclists","Purchasing Agent","Mr.","Steve","","Masters","","154-555-0115","Cell","steve2@adventure-works.com",0
1408,"Sports Products Store","Purchasing Agent","Mr.","Joseph","","Matthews","","1 (11) 500 555-0174","Work","joseph3@adventure-works.com",0
1412,"City Manufacturing","Purchasing Agent","Mr.","Chris","","Maxwell","","642-555-0187","Cell","chris6@adventure-works.com",0
1434,"Endurance Bikes","Purchasing Agent","Mr.","Alejandro","","McGuel","","378-555-0157","Work","alejandro1@adventure-works.com",0
1830,"Getaway Inn","Purchasing Agent","Mr.","Min","","Su","","1 (11) 500 555-0149","Cell","min1@adventure-works.com",0
1842,"Racing Sales and Service","Purchasing Agent","Mr.","Nate","","Sun","","1 (11) 500 555-0122","Cell","nate0@adventure-works.com",0
1844,"Metropolitan Bicycle Supply","Purchasing Agent","Mr.","Krishna","","Sunkammurali","","1 (11) 500 555-0177","Work","krishna1@adventure-works.com",0
1854,"Region Bike Company","Purchasing Agent","Mr.","Manoj","","Syamala","","1 (11) 500 555-0181","Cell","manoj0@adventure-works.com",0
1866,"Gears and Parts Company","Purchasing Agent","Mr.","Denis","","Taylor","","1 (11) 500 555-0155","Cell","denis0@adventure-works.com",0
1960,"Sports Store","Purchasing Agent","Mr.","Roger","","Van Houten","","1 (11) 500 555-0110","Work","roger2@adventure-works.com",0
1968,"Solid Bike Parts","Purchasing Agent","Mr.","Michael","","Vanderhyde","","918-555-0141","Cell","michael25@adventure-works.com",0
412,"Gasless Cycle Shop","Purchasing Manager","Mr.","Josh","","Barnhill","","584-555-0192","Work","josh0@adventure-works.com",0
448,"Traction Tire Company","Purchasing Manager","Mr.","Ido","","Ben-Sachar","","973-555-0112","Cell","ido0@adventure-works.com",0
454,"Tire Company","Purchasing Manager","Mr.","Max","","Benson","","599-555-0160","Work","max0@adventure-works.com",0
486,"Global Sporting Goods","Purchasing Manager","Mr.","Mary","","Bishop","","176-555-0136","Work","mary4@adventure-works.com",0
542,"Best o' Bikes","Purchasing Manager","Mr.","Robert","","Brown","","575-555-0189","Work","robert5@adventure-works.com",0
556,"Mechanical Products Ltd.","Purchasing Manager","Mr.","Michael","","Brundage","","128-555-0148","Cell","michael13@adventure-works.com",0
576,"Independent Outlet","Purchasing Manager","Mr.","Ovidiu","","Burlacu","","710-555-0116","Cell","ovidiu1@adventure-works.com",0
622,"Bikes and Motorbikes","Purchasing Manager","Mr.","Qiang","","Wang","","165-555-0100","Work","qiang0@adventure-works.com",0
638,"Responsible Bike Dealers","Purchasing Manager","Mr.","Rob","","Caron","","620-555-0117","Cell","rob2@adventure-works.com",0
640,"Western Bike Supplies","Purchasing Manager","Mr.","Andy","","Carothers","","944-555-0148","Work","andy1@adventure-works.com",0
682,"Thrilling Bike Tours","Purchasing Manager","Mr.","Pei","","Chow","","789-555-0184","Cell","pei0@adventure-works.com",0
720,"Machines & Cycles Store","Purchasing Manager","Mr.","Pat","","Coleman","","292-555-0128","Cell","pat2@adventure-works.com",0
728,"Wholesale Bikes","Purchasing Manager","Mr.","Aaron","","Con","","652-555-0115","Work","aaron0@adventure-works.com",0
730,"Very Best Sports Supply","Purchasing Manager","Mr.","Peter","","Connelly","","1 (11) 500 555-0117","Work","peter2@adventure-works.com",0
742,"Vehicle Shop","Purchasing Manager","Mr.","Scott","","Cooper","","773-555-0182","Work","scott2@adventure-works.com",0
894,"Jumbo Bikes","Purchasing Manager","Mr.","Jay","","Fluegel","","1 (11) 500 555-0119","Cell","jay2@adventure-works.com",0
900,"Basic Sports Equipment","Purchasing Manager","Mr.","Garth","","Fort","","768-555-0125","Cell","garth0@adventure-works.com",0
906,"Fitness Bike Accessories","Purchasing Manager","Mr.","John","","Fredericksen","","1 (11) 500 555-0123","Work","john18@adventure-works.com",0
912,"Retail Cycle Shop","Purchasing Manager","Mr.","Mihail","","Frintu","","777-555-0163","Cell","mihail1@adventure-works.com",0
924,"Riding Excursions","Purchasing Manager","Mr.","Michael","","Galos","","912-555-0149","Cell","michael15@adventure-works.com",0
950,"The Bicycle Accessories Company","Purchasing Manager","Mr.","Guy","","Gilbert","","583-555-0198","Work","guy0@adventure-works.com",0
996,"Hometown Riding Supplies","Purchasing Manager","Mr.","Greg","","Harrison","","1 (11) 500 555-0112","Work","greg2@adventure-works.com",0
1010,"Cross-Country Riding Supplies","Purchasing Manager","Mr.","Bryan","","Hamilton","","344-555-0144","Cell","bryan2@adventure-works.com",0
1014,"Bike World","Purchasing Manager","Mr.","Kerim","","Hanif","","216-555-0122","Work","kerim0@adventure-works.com",0
1018,"Trusted Catalog Store","Purchasing Manager","Mr.","Mark","","Hanson","","497-555-0147","Cell","mark3@adventure-works.com",0
1026,"Metropolitan Sports Supply","Purchasing Manager","Mr.","Lucy","","Harrington","","828-555-0186","Work","lucy0@adventure-works.com",0
1142,"Major Amusement Company","Purchasing Manager","Mr.","Raman","","Iyer","","1 (11) 500 555-0112","Cell","raman0@adventure-works.com",0
1152,"Exceptional Cycle Services","Purchasing Manager","Mr.","David","","Jaffe","","1 (11) 500 555-0140","Cell","david17@adventure-works.com",0
1160,"West Wind Distributors","Purchasing Manager","Mr.","George","","Jiang","","1 (11) 500 555-0112","Work","george2@adventure-works.com",0
1346,"Fitness Hotel","Purchasing Manager","Mr.","Peter","","Waxman","","458-555-0100","Cell","peter6@adventure-works.com",0
1358,"Leading Sales & Repair","Purchasing Manager","Mr.","Paul","","West","","779-555-0100","Work","paul6@adventure-works.com",0
1374,"Yellow Bicycle Company","Purchasing Manager","Mr.","Scott","","MacDonald","","470-555-0171","Cell","scott7@adventure-works.com",0
1382,"Shipping Specialists","Purchasing Manager","Mr.","Ajay","","Manchepalli","","1 (11) 500 555-0174","Cell","ajay0@adventure-works.com",0
1450,"Guaranteed Sales and Service","Purchasing Manager","Mr.","Tosh","","Meston","","995-555-0114","Cell","tosh0@adventure-works.com",0
1464,"List Price Catalog Company","Purchasing Manager","Mr.","Ramesh","","Meyyappan","","1 (11) 500 555-0114","Work","ramesh1@adventure-works.com",0
1480,"Orange Bicycle Company","Purchasing Manager","Mr.","Frank","","Miller","","118-555-0184","Cell","frank6@adventure-works.com",0
1804,"Cycle Clearance","Purchasing Manager","Mr.","Alan","","Steiner","","792-555-0194","Work","alan4@adventure-works.com",0
318,"Great Bikes","Owner","Mr.","François","","Ferrier","","571-555-0128","Cell","françois1@adventure-works.com",1
434,"Country Parts Shop","Owner","Mr.","Bradley","","Beck","","1 (11) 500 555-0127","Work","bradley0@adventure-works.com",1
510,"Bikes for Two","Owner","Mr.","Eli","","Bowen","","371-555-0143","Cell","eli0@adventure-works.com",1
664,"Casual Bicycle Store","Owner","Mr.","Baris","","Cetinok","","301-555-0128","Cell","baris1@adventure-works.com",1
816,"Farthermost Bike Shop","Owner","Mr.","Blaine","","Dockter","","156-555-0187","Work","blaine0@adventure-works.com",1
936,"Journey Sporting Goods","Owner","Mr.","Darren","","Gehring","","417-555-0182","Cell","darren0@adventure-works.com",1
996,"Hometown Riding Supplies","Owner","Mr.","William","","Vong","","809-555-0100","Cell","william6@adventure-works.com",1
1024,"Exemplary Cycles","Owner","Mr.","Mahesh","","Smith","","610-555-0100","Work","mahesh0@adventure-works.com",1
1036,"Mountain Bike Store","Owner","Mr.","Mark","","Hassall","","751-555-0119","Work","mark4@adventure-works.com",1
1042,"Popular Bike Lines","Owner","Mr.","Jeff","","Hay","","1 (11) 500 555-0182","Cell","jeff1@adventure-works.com",1
1048,"Countryside Company","Owner","Mr.","John","","Hanson","","107-555-0117","Work","john20@adventure-works.com",1
1056,"General Department Stores","Owner","Mr.","Kari","","Hensien","","143-555-0129","Cell","kari0@adventure-works.com",1
1082,"First Cycle Store","Owner","Mr.","Mike","","Hines","","454-555-0160","Work","mike3@adventure-works.com",1
1100,"All Seasons Sports Supply","Owner","Mr.","Bob","","Hodges","","129-555-0120","Work","bob2@adventure-works.com",1
1170,"Sample Bike Store","Owner","Mr.","Barry","","Johnson","","858-555-0140","Cell","barry1@adventure-works.com",1
1176,"Eleventh Bike Store","Owner","Mr.","Willis","","Johnson","","230-555-0164","Cell","willis1@adventure-works.com",1
1198,"Fabrikam Inc., East","Owner","Mr.","John","","Kane","","1 (11) 500 555-0186","Cell","john21@adventure-works.com",1
1214,"Sturdy Toys","Owner","Mr.","John","","Kelly","","330-555-0116","Work","john22@adventure-works.com",1
1216,"Beneficial Exercises and Activities","Owner","Mr.","Robert","","Kelly","","510-555-0123","Work","robert7@adventure-works.com",1
1218,"Fad Outlet","Owner","Mr.","Kevin","","Kennedy","","275-555-0179","Cell","kevin4@adventure-works.com",1
1242,"Field Trip Store","Owner","Mr.","Anton","","Kirilov","","608-555-0162","Cell","anton0@adventure-works.com",1
1248,"Glossy Bikes","Owner","Mr.","Reed","","Koch","","108-555-0171","Work","reed1@adventure-works.com",1
1266,"Reasonable Bicycle Sales","Owner","Mr.","Mitch","","Kennedy","","996-555-0192","Work","mitch0@adventure-works.com",1
1906,"Regional Cycle Shop","Owner","Mr.","John","","Tippett","","1 (11) 500 555-0132","Work","john28@adventure-works.com",1
1944,"Quantity Discounts","Owner","Mr.","Sairaj","","Uddin","","767-555-0193","Work","sairaj1@adventure-works.com",1
308,"Valley Bicycle Specialists","Purchasing Agent","Mr.","Jay","","Adams","","158-555-0142","Cell","jay1@adventure-works.com",1
374,"Immense Manufacturing Company","Purchasing Agent","Mr.","Chris","","Ashton","","556-555-0145","Cell","chris3@adventure-works.com",1
474,"Number 1 Supply","Purchasing Agent","Mr.","Matthias","","Berndt","","384-555-0169","Work","matthias1@adventure-works.com",1
522,"Raw Materials Inc","Purchasing Agent","Mr.","Ted","","Bremer","","962-555-0166","Cell","ted0@adventure-works.com",1
524,"Lots of Bikes Storehouse","Purchasing Agent","Mr.","Alan","","Brewer","","494-555-0134","Work","alan1@adventure-works.com",1
540,"Metro Bike Works","Purchasing Agent","Mr.","Jo","","Brown","","689-555-0130","Work","jo2@adventure-works.com",1
592,"Retail Mall","Purchasing Agent","Mr.","Ryan","","Calafato","","726-555-0155","Cell","ryan1@adventure-works.com",1
624,"Budget Toy Store","Purchasing Agent","Mr.","Richard","","Carey","","1 (11) 500 555-0140","Cell","richard3@adventure-works.com",1
696,"Extreme Riding Supplies","Purchasing Agent","Mr.","Anthony","","Chor","","429-555-0145","Cell","anthony0@adventure-works.com",1
838,"Stock Parts and Supplies","Purchasing Agent","Mr.","Bart","","Duncan","","539-555-0121","Cell","bart0@adventure-works.com",1
840,"Roadway Supplies","Purchasing Agent","Mr.","Maciej","","Dusza","","962-555-0144","Work","maciej1@adventure-works.com",1
858,"Roadway Bike Emporium","Purchasing Agent","Mr.","John","","Emory","","691-555-0149","Work","john16@adventure-works.com",1
984,"Riding Cycles","Purchasing Agent","Mr.","Jon","","Grande","","1 (11) 500 555-0114","Work","jon1@adventure-works.com",1
1296,"Trailblazing Sports","Purchasing Agent","Mr.","Frank","","Campbell","","491-555-0132","Cell","frank4@adventure-works.com",1
1322,"Rapid Bikes","Purchasing Agent","Mr.","Yale","","Li","","316-555-0138","Cell","yale0@adventure-works.com",1
1338,"Sports Sales and Rental","Purchasing Agent","Mr.","Run","","Liu","","284-555-0185","Cell","run0@adventure-works.com",1
1342,"Global Sports Outlet","Purchasing Agent","Mr.","Kok-Ho","","Loh","","1 (11) 500 555-0189","Work","kok-ho1@adventure-works.com",1
1354,"Ideal Components","Purchasing Agent","Mr.","Jose","","Lugo","","1 (11) 500 555-0133","Work","jose4@adventure-works.com",1
1404,"Rally Master Company Inc","Purchasing Agent","Mr.","Frank","","Mart¡nez","","171-555-0147","Cell","frank5@adventure-works.com",1
1846,"Honest Repair Service","Purchasing Agent","Mr.","Brad","","Sutton","","688-555-0115","Cell","brad0@adventure-works.com",1
404,"Margie's Travel","Purchasing Manager","Mr.","David","","Barber","","752-555-0115","Work","david9@adventure-works.com",1
414,"Lubricant and Grease Suppliers","Purchasing Manager","Mr.","Adam","","Barr","","726-555-0191","Cell","adam0@adventure-works.com",1
428,"Finer Cycle Shop","Purchasing Manager","Mr.","Shaun","","Beasley","","396-555-0187","Cell","shaun0@adventure-works.com",1
484,"World Bike Discount Store","Purchasing Manager","Mr.","Jimmy","","Bischoff","","992-555-0111","Work","jimmy1@adventure-works.com",1
636,"Bicycle Exporters","Purchasing Manager","Mr.","Fernando","","Caro","","1 (11) 500 555-0163","Work","fernando0@adventure-works.com",1
678,"Nuts and Bolts Mfg.","Purchasing Manager","Mr.","Hao","","Chen","","117-555-0173","Work","hao1@adventure-works.com",1
684,"This Area Sporting Goods","Purchasing Manager","Mr.","Yao-Qiang","","Cheng","","344-555-0181","Work","yao-qiang0@adventure-works.com",1
750,"Custom Sales and Service","Purchasing Manager","Mr.","Bruno","","Costa Da Silva","","140-555-0143","Cell","bruno0@adventure-works.com",1
920,"General Riding Supplies","Purchasing Manager","Mr.","Bob","","Gage","","962-555-0175","Cell","bob1@adventure-works.com",1
926,"Unique Bikes","Purchasing Manager","Mr.","Jon","","Ganio","","672-555-0112","Cell","jon0@adventure-works.com",1
944,"Number One Bike Co.","Purchasing Manager","Mr.","Leo","","Giakoumakis","","1 (11) 500 555-0169","Cell","leo0@adventure-works.com",1
